Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
happy anniversary,romantic comedy,"comedy, romance",comedy,"movie title is happy anniversary. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BYzRiMWVkMDUtOGQxMi00ZWE0LTk1MDMtMGQ1MjIzNGQ0ZjVkXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.8,78,0.36097560975609755,English,"March 30, 2018",Jared Stern,A couple on their three-year anniversary need to decide whether to stay together or call it quits.
i am all girls,thriller,thriller,thriller,movie title is i am all girls. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BZTQ1NjQ5ZjktOTQxMS00YTkwLWEzYjUtNzUyNGQyZjc2YWMxXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.8,107,0.5024390243902439,English,"May 14, 2021",Donovan Marsh,A special crimes investigator forms an unlikely bond with a serial killer to bring down a global child sex trafficking syndicate.
let it snow,romantic comedy,"comedy, romance",comedy,"movie title is let it snow. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BOGRmNjFlZjAtYzNjOC00ZDBjLWFmODctZGE0OTYwNGMxYjRmXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.8,92,0.4292682926829268,English,"November 8, 2019",Luke Snellin,"In a small town on Christmas Eve, a snowstorm brings together a group of young people."
mascots,mockumentary,documentary,documentary,movie title is mascots. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMjQxNjAxMzI5Ml5BMl5BanBnXkFtZTgwMzE2NjA5OTE@._V1_SX300.jpg,2016.0,5.8,95,0.44390243902439025,English,"October 13, 2016",Christopher Guest,A look into the world of competitive mascots.
operation christmas drop,romantic comedy,"comedy, romance",comedy,"movie title is operation christmas drop. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMTI2MzBlMmUtNTY4NC00ZDhmLWFiMmItY2Q0YWJiZGRlMzBlXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,96,0.448780487804878,English,"November 5, 2020",Martin Wood,"Congressional aide Erica forgoes family Christmas to travel at her boss's behest. At a beach side Air Force base, she clashes with Capt. Andrew Jantz, who knows her assignment is finding reasons to defund the facility."
rajma chawal,"comedy, drama","comedy, drama",comedy,"movie title is rajma chawal. genre is comedy, drama. language is hindi.",https://m.media-amazon.com/images/M/MV5BZGUyNjQxMTItZDk1NC00NGFjLWFjZDYtM2RmYTYwYjViNThkXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.8,118,0.5560975609756097,Hindi,"November 30, 2018",Leena Yadav,An internet-rookie father attempts to use social media to enhance his faltering relationship with his millennial son.
rich in love,romantic comedy,"comedy, romance",comedy,"movie title is rich in love. genre is comedy, romance. language is portuguese.",https://m.media-amazon.com/images/M/MV5BMTMwOTg5MDk1NV5BMl5BanBnXkFtZTcwOTA0NzI5NA@@._V1_SX300.jpg,2020.0,5.8,105,0.4926829268292683,Portuguese,"April 30, 2020",Bruce Beresford,"The Odoms of Charleston, South Carolina have lived a life of the traditions of the American South in their longtime, large-family beachfront home."
rising high,satire,comedy,comedy,movie title is rising high. genre is comedy. language is german.,https://m.media-amazon.com/images/M/MV5BZTE0ZTFiNjMtMjM4YS00ZDkyLTljZDUtNjAzNDRhNDUwYzBmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,94,0.43902439024390244,German,"April 17, 2020",Cüneyt Kaya,"Charting the rise and fall of three corrupt real estate agents who accumulate absurd wealth in no time but fall into a vortex of fraud, greed and drugs."
sierra burgess is a loser,"romantic comedy, drama","comedy, drama, romance",comedy,"movie title is sierra burgess is a loser. genre is comedy, drama, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMTU5Mjc4NTM2Ml5BMl5BanBnXkFtZTgwMjMzMzA5NTM@._V1_SX300.jpg,2018.0,5.8,105,0.4926829268292683,English,"September 7, 2018",Ian Samuels,A case of mistaken identity results in unexpected romance when the most popular girl and the biggest loser in high school must unite to win over their crushes.
small crimes,dark comedy,comedy,comedy,movie title is small crimes. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BOTkzOGEwOTUtY2Y2ZC00MmJkLWE2NDgtZGYxMTkyZjRiZjBhXkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.8,95,0.44390243902439025,English,"April 28, 2017",E.L. Katz,"A disgraced former cop, fresh off a six-year prison sentence for attempted murder - returns home looking for redemption but winds up trapped in the mess he left behind."
special correspondents,satire,comedy,comedy,movie title is special correspondents. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTQ2MzUwODQzMF5BMl5BanBnXkFtZTgwMTA5MDM0ODE@._V1_SX300.jpg,2016.0,5.8,100,0.46829268292682924,English,"April 29, 2016",Ricky Gervais,A radio journalist and his technician get in over their heads when they hatch a scheme to fake their own kidnapping during a rebel uprising in South America and hide out in New York instead.
tau,"science fiction, thriller","scifi, thriller",scifi,"movie title is tau. genre is scifi, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BZGYyYjI3NTEtZmIxYS00Y2Q4LWEzNTItYzc4NTRjNzRiY2MzXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.8,97,0.4536585365853658,English,"June 29, 2018",Federico D'Alessandro,"A woman is held captive by a scientist in a futuristic smart house, and hopes to escape by reasoning with the Artificial Intelligence that controls the house."
the after party,comedy,comedy,comedy,movie title is the after party. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTU1NjgwODUyNV5BMl5BanBnXkFtZTgwOTQ0NTc5NTM@._V1_SX300.jpg,2018.0,5.8,89,0.4146341463414634,English,"August 24, 2018",Ian Edelman,"When an aspiring rapper goes viral for all the wrong reasons, he thinks his career is over. But when his best friend gets them into a wild NYC after party, he gets one more chance to make the impossible happen."
the babysitter: killer queen,"comedy, horror","comedy, horror",comedy,"movie title is the babysitter: killer queen. genre is comedy, horror. language is english.",https://m.media-amazon.com/images/M/MV5BODk1ZmQ4ODItZjcwZi00MTUxLWE1YWMtMDY2NWJhNzJjMGEyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,102,0.47804878048780486,English,"September 10, 2020",McG,"Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell."
the claus family,fantasy,fantasy,fantasy,movie title is the claus family. genre is fantasy. language is dutch.,https://m.media-amazon.com/images/M/MV5BOTdkYTg1ZTQtZjFhNC00NDZjLWEwZGEtNWYxNDU0ZTQxZDlmXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,96,0.448780487804878,Dutch,"December 7, 2020",Matthias Temmermans,"After discovering his grandfather is Santa Claus, Jules has to help him deliver his presents all around the world. But Jules' hatred for Christmas might make that more difficult than Santa thought."
the kissing booth 2,romantic comedy,"comedy, romance",comedy,"movie title is the kissing booth 2. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BN2IzODA4YTktZDkwOS00MTRkLWE3NjgtYjMwZTFlNTBhNjhjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,131,0.6195121951219512,English,"July 24, 2020",Vince Marcello,"In the sequel to 2018's The Kissing Booth', high school senior Elle juggles a long-distance relationship with her dreamy boyfriend Noah, college applications, and a new friendship with a handsome classmate that could change everyt..."
the perfect date,romantic comedy,"comedy, romance",comedy,"movie title is the perfect date. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BYzc4ZWJmYTEtYTA2Yy00ZDBiLTk5NzQtNWIxN2NiYjBiZGUyXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.8,89,0.4146341463414634,English,"April 12, 2019",Chris Nelson,"To save up for college, Brooks Rattigan creates an app where anyone can pay him to play the perfect stand-in boyfriend for any occasion."
what we wanted,drama,drama,drama,movie title is what we wanted. genre is drama. language is german.,https://m.media-amazon.com/images/M/MV5BMTEyOTJkYzUtYWM2MS00MzIxLWFkYjQtYzhjYmU1ZGE3NjQwXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,93,0.43414634146341463,German,"November 11, 2020",Ulrike Kofler,A couple facing fertility issues finds their marriage tested on a vacation to a Sardinian resort - and the family next door only adds to the tension.
you've got this,romantic comedy,"comedy, romance",comedy,"movie title is you've got this. genre is comedy, romance. language is spanish.",https://m.media-amazon.com/images/M/MV5BYWNmMGFhMjItYzVhMS00Njc3LTgwMDUtMTZjN2RiNWNmYzMxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,111,0.5219512195121951,Spanish,"October 2, 2020",Salvador Espinosa,"Alex, an advertising creative, wants to be a dad at any cost, but his wife is a lawyer on top of her career and being a mother isn't part of her plans. An unexpected guest will challenge their love."
6 balloons,drama,drama,drama,movie title is 6 balloons. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMTY1MjgyODM5NF5BMl5BanBnXkFtZTgwNTk2NzIwNTM@._V1_SX300.jpg,2018.0,5.9,75,0.3463414634146341,English,"April 6, 2018",Marja-Lewis Ryan,A woman (Jacobson) learns her brother (Franco) has relapsed on heroin.
a fall from grace,thriller,thriller,thriller,movie title is a fall from grace. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BOTdhOGM2YjUtZWVjYy00NWY3LThmYjMtMWQ5MmI1YTE0MDY5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.9,120,0.5658536585365853,English,"January 17, 2020",Tyler Perry,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent."
amateur,"sports, drama",drama,drama,movie title is amateur. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BYzUzMmVjYjItMTdkZC00NGRhLWIzODMtZWJkN2EzYzdkNDYxXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.9,96,0.448780487804878,English,"April 6, 2018",Hal Hartley,"An amnesiac wakes up on an NYC alley. He meets Isabelle, an ex nun now erotic writer, at a diner and follows her home. She helps him find his identity. Then there's Sofia, the porn star."
army of the dead,"zombie, heist","horror, action",horror,"movie title is army of the dead. genre is horror, action. language is english.",https://m.media-amazon.com/images/M/MV5BNjc0MDFjZmQtMWMxZi00YzY4LWI5N2EtOGQwM2IzZjRkYmY1XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.9,148,0.7024390243902439,English,"May 21, 2021",Zack Snyder,"Following a zombie outbreak in Las Vegas, a group of mercenaries take the ultimate gamble, venturing into the quarantine zone to pull off the greatest heist ever attempted."
cam,psychological horror,horror,horror,movie title is cam. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BMmEyNzUwNmItOTI1Mi00ZmVlLTkxZWEtOGY0Y2Y2YzU0YzRkXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.9,94,0.43902439024390244,English,"November 16, 2018",Daniel Goldhaber,"Alice, an ambitious camgirl, wakes up one day to discover she's been replaced on her show with an exact replica of herself."
earthquake bird,mystery,mystery,mystery,movie title is earthquake bird. genre is mystery. language is english.,https://m.media-amazon.com/images/M/MV5BYmI5MTM0ZDgtMTAzMy00YzQ5LWIyZWQtNTU1NDJhYzg5MjY0XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.9,107,0.5024390243902439,English,"November 15, 2019",Wash Westmoreland,"An enigmatic translator with a dark past is brought in for questioning after an ex-pat friend, who came between her and her photographer boyfriend, ends up missing and presumed dead."
horse girl,drama,drama,drama,movie title is horse girl. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMmZmODVkNzQtYzkwMC00ODkxLTk1MTgtMTBmYmFiYWMzYWQzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.9,104,0.4878048780487805,English,"February 7, 2020",Jeff Baena,"Sarah, a socially isolated woman with a fondness for arts and crafts, horses, and supernatural crime shows finds her increasingly lucid dreams trickling into her waking life."
notes from dunblane: lesson from a school shooting,documentary,documentary,documentary,movie title is notes from dunblane: lesson from a school shooting. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BZDM4MTkzOGQtZjIzNi00NWI3LWExYjctODJiNGI2MTc4NDQxXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.9,23,0.09268292682926829,English,"September 28, 2018",Kim A. Snyder,"In the wake of the 2012 Sandy Hook Elementary School massacre that took the lives of 20 first graders and their teachers, local clergymen Father Bob Weiss receives a letter from a fellow priest in Dunblane, Scotland, whose communi..."
the decline,thriller,thriller,thriller,movie title is the decline. genre is thriller. language is french.,https://m.media-amazon.com/images/M/MV5BYzFlMWI1YTgtZjlmYy00OGEzLTg5OTMtNTc2NThlYTYyNWE4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.9,83,0.3853658536585366,French,"March 27, 2020",Patrice Laliberté,A fatal accident at a remote survivalist training camp sends participants into a panic - and sets the stage for a chilling showdown.
the minimalists: less is now,documentary,documentary,documentary,movie title is the minimalists: less is now. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BYTg0YWM0YjgtMTgwYi00NWUzLTljYTctNWY3NjJjY2Y3Njk4XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.9,53,0.23902439024390246,English,"January 1, 2021",Matt D'Avella,The Minimalists have reworked this phrase to create a sense of urgency for today’s consumer culture: now is the time for less.
the polka king,"comedy, drama","comedy, drama",comedy,"movie title is the polka king. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BMTU3MTQyNDEyN15BMl5BanBnXkFtZTgwMjE3NjgzNDM@._V1_SX300.jpg,2018.0,5.9,95,0.44390243902439025,English,"January 12, 2018",Maya Forbes,Local Pennsylvania polka legend Jan Lewan develops a plan to get rich that shocks his fans and lands him in jail.
the prom,musical,musical,musical,movie title is the prom. genre is musical. language is english.,https://m.media-amazon.com/images/M/MV5BY2ViN2NkY2QtNTU2Yy00MjE0LTgxZWEtMmNmYTZmOTU4ODJjXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.9,132,0.624390243902439,English,"December 11, 2020",Ryan Murphy,A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high-school girl who wants to take her girlfriend to the prom.
true memoirs of an international assassin,action comedy,"comedy, action",comedy,"movie title is true memoirs of an international assassin. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BMjEzMjI0Mzc5MV5BMl5BanBnXkFtZTgwODExMDgxMDI@._V1_SX300.jpg,2016.0,5.9,98,0.4585365853658536,English,"November 11, 2016",Jeff Wadlow,"After a publisher changes a writer's debut novel about a deadly assassin from fiction to non-fiction, the author finds himself thrust into the world of his lead character, and must take on the role of his character for his own sur..."
ultras,sports film,drama,drama,movie title is ultras. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BMzg4NGQzYTMtZTBjNy00NjBlLWI2NTMtYzFmZjA2ZjZjODIyXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.9,108,0.5073170731707317,Italian,"March 20, 2020",Francesco Lettieri,"Naples. At almost fifty years old Sandro is the leader of the Apache, a group of ultras with whom he has spent his whole life at the stadium: a life of violence, clashes, passions, and unshakable values. Now that a hooligan preven..."
come sunday,biopic,drama,drama,movie title is come sunday. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMzAzNTUyNzYzNV5BMl5BanBnXkFtZTgwNjcwNzkwNTM@._V1_SX300.jpg,2018.0,6.0,106,0.4975609756097561,English,"April 13, 2018",Joshua Marston,Evangelist Carlton Pearson is ostracized by his church for denying the existence of Hell.
forgive us our debts,drama,drama,drama,movie title is forgive us our debts. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BZmI4N2Y5OGQtYjY2NS00Mzg4LTgyYzUtMjk2ZTFlNjExOWIxXkEyXkFqcGc@._V1_SX300.jpg,2018.0,6.0,104,0.4878048780487805,Italian,"May 4, 2018",Antonio Morabito,A man struggling under the crushing weight of debt must work as a tax collector to pay off his creditors.
iboy,"science fiction, thriller","scifi, thriller",scifi,"movie title is iboy. genre is scifi, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BNjQxODM2MDAyM15BMl5BanBnXkFtZTgwODc4MTE0MTI@._V1_SX300.jpg,2017.0,6.0,90,0.4195121951219512,English,"January 27, 2017",Adam Randall,"After being shot, Tom awakens from a coma to discover that fragments of his smartphone have been embedded in his head--and worse, that returning to normal teenage life is impossible because he has developed a strange set of superp..."
